DateTime,Equity
2024-01-02 23:30:00,10000.0
2024-01-03 09:00:00,9929.82675435095
2024-01-04 13:30:00,9962.044718195717
2024-01-06 04:30:00,10153.298199216864
2024-01-06 08:30:00,10208.640852403025
2024-01-06 10:30:00,10221.018386226537
2024-01-06 21:30:00,10099.195616320168
2024-01-08 04:00:00,10141.172955446493
2024-01-09 07:30:00,10281.748289363837
2024-01-12 04:00:00,10310.711226295714
2024-01-12 06:30:00,10366.297367949297
2024-01-12 07:30:00,10293.977166618393
2024-01-14 17:30:00,10435.452526705489
2024-01-14 19:00:00,10390.84147190333
2024-01-16 19:00:00,10531.528325756306
2024-01-25 12:00:00,10648.923562101563
2024-01-25 22:30:00,10505.305331464791
2024-01-30 13:00:00,10909.383014988125
2024-02-02 07:00:00,10831.510118817796
2024-02-03 16:30:00,10983.939245277394
2024-02-08 05:00:00,11201.013699755329
2024-02-10 22:00:00,11109.26265607838
2024-02-14 11:30:00,10976.928058591333
2024-02-15 18:00:00,10937.454101918058
2024-02-16 01:30:00,10794.175621583645
2024-02-18 12:00:00,11193.703519651393
2024-02-18 14:30:00,11128.23243712406
2024-02-20 11:00:00,11457.40704872734
2024-02-21 08:00:00,11426.25783454491
2024-02-21 17:00:00,11330.56754908504
2024-02-22 04:00:00,11273.705057489306
2024-02-24 02:30:00,11481.201012756206
2024-02-24 19:00:00,11428.151381363843
2024-02-25 06:00:00,11327.336104782999
2024-02-28 06:30:00,11180.894120390029
2024-03-10 10:30:00,11574.874604643217
2024-03-13 15:30:00,11457.902186759431
2024-03-13 21:00:00,11408.405539148274
2024-03-14 11:00:00,11334.492113530134
2024-03-17 18:30:00,11531.57797264536
2024-03-27 12:00:00,11452.398619950704
2024-03-27 16:00:00,11448.378090151049
2024-03-29 02:30:00,11524.27497961413
2024-03-29 09:30:00,11423.70396597984
2024-04-02 03:30:00,11238.660593567369
2024-04-06 16:30:00,11047.091022084558
2024-04-07 07:30:00,10947.450633925459
2024-04-09 19:30:00,10983.761848714184
2024-04-09 20:00:00,10979.73795154223
2024-04-09 20:30:00,10940.90979226947
2024-04-09 21:00:00,10888.704441646585
2024-04-10 23:00:00,10965.46489449587
2024-04-11 04:00:00,10979.173320198088
2024-04-11 06:00:00,10940.586656425923
2024-04-11 10:00:00,10884.932269079298
2024-04-12 11:30:00,10902.257004199453
2024-04-15 06:00:00,11264.652488860413
2024-04-15 15:30:00,11214.14093225561
2024-04-17 15:30:00,10990.49140228824
2024-04-27 20:00:00,10554.889406839671
2024-05-01 15:00:00,10490.494590102055
2024-05-02 13:00:00,10512.620839562118
2024-05-05 18:00:00,10791.961753311803
2024-05-08 19:30:00,10749.386860669296
2024-05-12 09:00:00,10960.019586714721
2024-05-15 22:30:00,11065.624022786138
2024-05-16 15:00:00,11039.920754191227
2024-05-16 21:30:00,10995.041880699975
2024-05-23 17:00:00,10888.410969226916
2024-05-25 15:30:00,11025.005553890722
2024-05-29 01:00:00,10996.148232030664
2024-05-29 05:30:00,11003.60010621362
